pilot_pattern,pilot_density,snr_db,trial,num_pilots,nmse_oracle_perfect,nmse_oracle_support_ls,nmse_estimated_support_ls,path_recall,path_precision,power_recovery,delay_rmse_bins,doppler_rmse_bins,penalized_delay_rmse_bins,penalized_doppler_rmse_bins,ospa_distance,num_estimated,num_missed,num_false_alarms,false_alarm_rate
random,0.125,0.0,22,112,0.0,0.03146996644207593,0.22160993168072288,0.75,0.75,0.9863871202176487,0.18885578368746833,0.18907580684516828,0.40911475196349967,0.29885154433365996,0.6362423476255449,4.0,1.0,1.0,0.25
random,0.125,0.0,23,112,0.0,0.03475455759753092,0.44986246673038593,0.75,0.75,0.8079978635562953,0.20014486259353667,0.08319462850738082,0.4131204116440378,0.26017495970857923,0.5693633813311942,4.0,1.0,1.0,0.25
random,0.125,0.0,24,112,0.0,0.03888289558502775,0.16109756493757282,0.75,0.75,0.9457924347802584,0.13587023860887146,0.09911382568365656,0.3930274052845727,0.26432491905084865,0.5514389784715921,4.0,1.0,1.0,0.25
random,0.125,0.0,25,112,0.0,0.02518512556982157,0.5760165548997526,0.5,0.5,0.5568364869241513,0.0608096046914963,0.06629370839865253,0.5320703938496936,0.3566474840604133,0.7155953130164739,4.0,2.0,2.0,0.5
random,0.125,0.0,26,112,0.0,0.028994576692883325,0.1998931864782965,0.75,0.75,0.8823189149582986,0.12061999607208372,0.07722321237642274,0.389277391572285,0.2587905879225529,0.5359936425547492,4.0,1.0,1.0,0.25
random,0.125,0.0,27,112,0.0,0.05813871210488958,0.12996234811945678,0.5,0.5,0.6909918110392489,0.1122087983062686,0.09369540844995312,0.5362326055068531,0.3597074016229048,0.5292513819511706,4.0,2.0,2.0,0.5
random,0.125,0.0,28,112,0.0,0.037059220137425485,0.13108782162550073,0.75,0.75,0.9492545186466683,0.12129386503471858,0.07281540588618336,0.3894343991884839,0.25783049179795864,0.5343430723138988,4.0,1.0,1.0,0.25
random,0.125,0.0,29,112,0.0,0.041407621511640125,0.17549892288973795,1.0,1.0,1.0,0.14359392271866003,0.1610686117371829,0.14359392271866003,0.1610686117371829,0.3747382717752161,4.0,0.0,0.0,0.0
random,0.125,0.0,30,112,0.0,0.04625850652504722,0.18165765877802814,0.75,0.75,0.9526773746481751,0.09051404884853488,0.0870814638731269,0.38310520066845377,0.2611271453003594,0.532609864819269,4.0,1.0,1.0,0.25
random,0.125,0.0,31,112,0.0,0.036235824019558445,0.12768317655531164,0.75,0.75,0.9528905903708227,0.0737078430815468,0.06832721765681526,0.38039405173950924,0.25690748627578247,0.5208163024142748,4.0,1.0,1.0,0.25
random,0.125,0.0,32,112,0.0,0.053382026711561864,0.37281746602284394,0.5,0.5,0.9217640192888611,0.14103374634206498,0.26906628021647044,0.5396251095006968,0.40149512023779826,0.8139249267557879,4.0,2.0,2.0,0.5
random,0.125,0.0,33,112,0.0,0.048935427883730426,0.5226883548809926,0.25,0.25,0.052711271691201454,0.17819892755015143,0.07444394748713634,0.6556017956389427,0.4346095665414728,0.7289188508600936,4.0,3.0,3.0,0.75
random,0.125,0.0,34,112,0.0,0.03433160767776441,0.12897004790942582,0.5,0.5,0.9532691396307057,0.07400277661902262,0.037365708431227045,0.5329054376469267,0.3545392757978779,0.7125028513453133,4.0,2.0,2.0,0.5
random,0.125,0.0,35,112,0.0,0.05990547116064978,0.11078051406613092,1.0,1.0,1.0,0.07296028219335822,0.12190696472766183,0.07296028219335822,0.12190696472766183,0.2625046738656414,4.0,0.0,0.0,0.0
random,0.125,0.0,36,112,0.0,0.021566249784872465,0.14020497783466337,0.75,0.75,0.9894936030024439,0.046036374196491564,0.125571620951615,0.37711339251194664,0.27262827071181017,0.5478416677874434,4.0,1.0,1.0,0.25
random,0.125,0.0,37,112,0.0,0.014672925815284631,0.03797043436912186,1.0,1.0,1.0,0.07529348184875011,0.07045772135298685,0.07529348184875011,0.07045772135298685,0.17301900745926851,4.0,0.0,0.0,0.0
random,0.125,0.0,38,112,0.0,0.012911545944311592,0.19900266407796172,0.5,0.5,0.848884484774762,0.1827969855719107,0.0692011037639536,0.5458547141566964,0.3569235161502738,0.5639297069384109,4.0,2.0,2.0,0.5
random,0.125,0.0,39,112,0.0,0.019966475135455884,0.11221850366507792,0.75,0.75,0.9925497810506998,0.0999537182848802,0.0884137580558908,0.38486109097858917,0.26146270185281534,0.5355109450229076,4.0,1.0,1.0,0.25
