pilot_pattern,pilot_density,snr_db,trials,num_pilots,path_recall_mean,path_recall_std,path_recall_se,path_recall_ci95_lower,path_recall_ci95_upper,path_recall_n_eff,path_precision_mean,path_precision_std,path_precision_se,path_precision_ci95_lower,path_precision_ci95_upper,path_precision_n_eff,power_recovery_mean,power_recovery_std,power_recovery_se,power_recovery_ci95_lower,power_recovery_ci95_upper,power_recovery_n_eff,delay_rmse_bins_mean,delay_rmse_bins_std,delay_rmse_bins_se,delay_rmse_bins_ci95_lower,delay_rmse_bins_ci95_upper,delay_rmse_bins_n_eff,doppler_rmse_bins_mean,doppler_rmse_bins_std,doppler_rmse_bins_se,doppler_rmse_bins_ci95_lower,doppler_rmse_bins_ci95_upper,doppler_rmse_bins_n_eff,penalized_delay_rmse_bins_mean,penalized_delay_rmse_bins_std,penalized_delay_rmse_bins_se,penalized_delay_rmse_bins_ci95_lower,penalized_delay_rmse_bins_ci95_upper,penalized_delay_rmse_bins_n_eff,penalized_doppler_rmse_bins_mean,penalized_doppler_rmse_bins_std,penalized_doppler_rmse_bins_se,penalized_doppler_rmse_bins_ci95_lower,penalized_doppler_rmse_bins_ci95_upper,penalized_doppler_rmse_bins_n_eff,ospa_distance_mean,ospa_distance_std,ospa_distance_se,ospa_distance_ci95_lower,ospa_distance_ci95_upper,ospa_distance_n_eff,num_estimated_mean,num_estimated_std,num_estimated_se,num_estimated_ci95_lower,num_estimated_ci95_upper,num_estimated_n_eff,num_missed_mean,num_missed_std,num_missed_se,num_missed_ci95_lower,num_missed_ci95_upper,num_missed_n_eff,num_false_alarms_mean,num_false_alarms_std,num_false_alarms_se,num_false_alarms_ci95_lower,num_false_alarms_ci95_upper,num_false_alarms_n_eff,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_se,false_alarm_rate_ci95_lower,false_alarm_rate_ci95_upper,false_alarm_rate_n_eff,nmse_oracle_perfect_mean,nmse_oracle_perfect_std,nmse_oracle_perfect_se,nmse_oracle_perfect_ci95_lower,nmse_oracle_perfect_ci95_upper,nmse_oracle_perfect_n_eff,nmse_oracle_support_ls_mean,nmse_oracle_support_ls_std,nmse_oracle_support_ls_se,nmse_oracle_support_ls_ci95_lower,nmse_oracle_support_ls_ci95_upper,nmse_oracle_support_ls_n_eff,nmse_estimated_support_ls_mean,nmse_estimated_support_ls_std,nmse_estimated_support_ls_se,nmse_estimated_support_ls_ci95_lower,nmse_estimated_support_ls_ci95_upper,nmse_estimated_support_ls_n_eff
random,0.125,0.0,200,112.0,0.7,0.2111823618339106,0.014932848011974932,0.6707316178965291,0.7292683821034708,200.0,0.7,0.2111823618339106,0.014932848011974932,0.6707316178965291,0.7292683821034708,200.0,0.8705992958304449,0.18091317968947657,0.012792493616444925,0.8455260083422129,0.8956725833186769,200.0,0.12004890578758391,0.07470927888900397,0.0052960003644140965,0.10966874507333228,0.13042906650183556,199.0,0.09868150416110456,0.05759386137401707,0.004082720585189627,0.0906793718141329,0.10668363650807623,199.0,0.39582777727334334,0.16130178438748355,0.011405758555788,0.3734724905039989,0.4181830640426878,200.0,0.27358844295651985,0.0980629671762181,0.006934098907357764,0.25999760909809866,0.28717927681494104,200.0,0.5587046419263276,0.16629646415359192,0.011758935749035046,0.535657127858219,0.5817521559944363,200.0,4.0,0.0,0.0,4.0,4.0,200.0,1.2,0.8447294473356424,0.05973139204789973,1.0829264715861164,1.3170735284138835,200.0,1.2,0.8447294473356424,0.05973139204789973,1.0829264715861164,1.3170735284138835,200.0,0.3,0.2111823618339106,0.014932848011974932,0.2707316178965291,0.32926838210347087,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.03555852478186774,0.017253602024202536,0.0012200138991207555,0.03316729753959106,0.03794975202414442,200.0,0.2102800111188406,0.12971066717492513,0.009171929235162088,0.1923030298179229,0.22825699241975828,200.0
random,0.125,10.0,200,112.0,0.76625,0.19426045175376763,0.013736288275145123,0.7393268749807156,0.7931731250192844,200.0,0.76625,0.19426045175376763,0.013736288275145123,0.7393268749807156,0.7931731250192844,200.0,0.9088910700970595,0.14889976034195582,0.010528803025484871,0.8882546161671091,0.9295275240270099,200.0,0.10524097978326616,0.06871839210339745,0.004859124104854843,0.09571709653775066,0.11476486302878165,200.0,0.08993480460261999,0.05596777790038718,0.003957519528130636,0.08217806632748394,0.09769154287775604,200.0,0.34198735628463744,0.16612897084279155,0.011747092183448013,0.3189630556050793,0.3650116569641956,200.0,0.23945958959061342,0.10172960182208668,0.007193369129580485,0.22536058609663567,0.25355859308459117,200.0,0.4987478931914477,0.1748296685840765,0.01236232442083972,0.47451773732660185,0.5229780490562935,200.0,4.0,0.0,0.0,4.0,4.0,200.0,0.935,0.7770418070150705,0.05494515310058049,0.8273074999228622,1.0426925000771379,200.0,0.935,0.7770418070150705,0.05494515310058049,0.8273074999228622,1.0426925000771379,200.0,0.23375,0.19426045175376763,0.013736288275145123,0.20682687498071556,0.26067312501928447,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0036373424593200503,0.0019240971199424224,0.00013605421211727926,0.003370676203570183,0.003904008715069918,200.0,0.10574631819443696,0.0945784053803699,0.006687703179826981,0.09263841996197608,0.11885421642689784,200.0
random,0.125,20.0,200,112.0,0.75375,0.1981026521882534,0.014007972873335403,0.7262943731682626,0.7812056268317374,200.0,0.75375,0.1981026521882534,0.014007972873335403,0.7262943731682626,0.7812056268317374,200.0,0.9069932303966897,0.1551555795577582,0.010971156244421968,0.8854897641576226,0.9284966966357567,200.0,0.09937764637880654,0.07018015287391835,0.004962486200185624,0.08965117342644272,0.10910411933117037,200.0,0.08339540765882326,0.053489119388103586,0.003782251903902488,0.07598219392717438,0.09080862139047215,200.0,0.34498934871711884,0.17396755113975862,0.012301363511734081,0.32087867623412003,0.36910002120011765,200.0,0.24076817587501145,0.10671717028787141,0.007546043477959342,0.22597793065821115,0.25555842109181176,200.0,0.4930394387864398,0.1816025960133185,0.012841242712209858,0.4678706030705085,0.5182082745023712,200.0,4.0,0.0,0.0,4.0,4.0,200.0,0.985,0.7924106087530137,0.05603189149334162,0.8751774926730505,1.0948225073269495,200.0,0.985,0.7924106087530137,0.05603189149334162,0.8751774926730505,1.0948225073269495,200.0,0.24625,0.19810265218825343,0.014007972873335404,0.2187943731682626,0.2737056268317374,200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0003520152078118932,0.0001875790563577172,1.3263842275911538e-05,0.0003260180769511066,0.0003780123386726798,200.0,0.09619113018231851,0.09386466715397054,0.006637234265839076,0.08318215102127392,0.10920010934336309,200.0
random,0.125,30.0,200,112.0,0.77625,0.19152505510681453,0.013542866523315576,0.7497059816143015,0.8027940183856985,200.0,0.77625,0.19152505510681453,0.013542866523315576,0.7497059816143015,0.8027940183856985,200.0,0.8965814478289497,0.16117860560194763,0.011397048500332923,0.8742432327682972,0.9189196628896021,200.0,0.10672059925304686,0.08098937693946338,0.005741184711772113,0.09546787721797352,0.1179733212881202,199.0,0.08596575689957964,0.062314326309831816,0.004417345472379623,0.07730775977371558,0.0946237540254437,199.0,0.33322360110476096,0.16889735513233742,0.011942846513854832,0.3098156219376055,0.35663158027191644,200.0,0.22992903486990152,0.10936048190380002,0.0077329538348005706,0.2147724453536924,0.24508562438611065,200.0,0.47824379158857316,0.18166107493224273,0.012845377796222636,0.4530668511079768,0.5034207320691695,200.0,4.0,0.0,0.0,4.0,4.0,200.0,0.895,0.7661002204272581,0.0541714660932623,0.7888239264572059,1.0011760735427941,200.0,0.895,0.7661002204272581,0.0541714660932623,0.7888239264572059,1.0011760735427941,200.0,0.22375,0.19152505510681453,0.013542866523315576,0.19720598161430147,0.25029401838569854,200.0,0.0,0.0,0.0,0.0,0.0,200.0,3.727485381084313e-05,1.923836762730435e-05,1.3603580208226656e-06,3.4608552090030706e-05,3.994115553165555e-05,200.0,0.10491625474755897,0.10015041666769468,0.007081703876438515,0.09103611514973949,0.11879639434537846,200.0
