pslr_db,islr_db,max_far_sidelobe_delay_bin,max_far_sidelobe_doppler_bin,mainlobe_width_delay_bins,mainlobe_width_doppler_bins,pilot_pattern,pilot_density
-7.361803245776453,5.489149574162084,0.0,9.0,0.0,4.0,random,0.0625
-9.393774291864318,4.69189732343384,0.0,9.0,0.0,2.0,random,0.125
-10.459140065917394,2.7903543137343885,0.0,9.0,0.0,2.0,random,0.25
-5.009217221373453,2.2101309190044724,0.0,0.0,0.0,2.0,comb,0.0625
-12.422622175127545,0.7632362858451852,0.0,9.0,0.0,2.0,comb,0.125
-10.289881606135555,0.9812238599352957,0.0,9.0,0.0,2.0,comb,0.25
