pilot_pattern,pilot_density,snr_db,trials,num_pilots,path_recall_mean,path_recall_std,path_recall_se,path_recall_ci95_lower,path_recall_ci95_upper,path_recall_n_eff,path_precision_mean,path_precision_std,path_precision_se,path_precision_ci95_lower,path_precision_ci95_upper,path_precision_n_eff,power_recovery_mean,power_recovery_std,power_recovery_se,power_recovery_ci95_lower,power_recovery_ci95_upper,power_recovery_n_eff,delay_rmse_bins_mean,delay_rmse_bins_std,delay_rmse_bins_se,delay_rmse_bins_ci95_lower,delay_rmse_bins_ci95_upper,delay_rmse_bins_n_eff,doppler_rmse_bins_mean,doppler_rmse_bins_std,doppler_rmse_bins_se,doppler_rmse_bins_ci95_lower,doppler_rmse_bins_ci95_upper,doppler_rmse_bins_n_eff,penalized_delay_rmse_bins_mean,penalized_delay_rmse_bins_std,penalized_delay_rmse_bins_se,penalized_delay_rmse_bins_ci95_lower,penalized_delay_rmse_bins_ci95_upper,penalized_delay_rmse_bins_n_eff,penalized_doppler_rmse_bins_mean,penalized_doppler_rmse_bins_std,penalized_doppler_rmse_bins_se,penalized_doppler_rmse_bins_ci95_lower,penalized_doppler_rmse_bins_ci95_upper,penalized_doppler_rmse_bins_n_eff,ospa_distance_mean,ospa_distance_std,ospa_distance_se,ospa_distance_ci95_lower,ospa_distance_ci95_upper,ospa_distance_n_eff,num_estimated_mean,num_estimated_std,num_estimated_se,num_estimated_ci95_lower,num_estimated_ci95_upper,num_estimated_n_eff,num_missed_mean,num_missed_std,num_missed_se,num_missed_ci95_lower,num_missed_ci95_upper,num_missed_n_eff,num_false_alarms_mean,num_false_alarms_std,num_false_alarms_se,num_false_alarms_ci95_lower,num_false_alarms_ci95_upper,num_false_alarms_n_eff,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_se,false_alarm_rate_ci95_lower,false_alarm_rate_ci95_upper,false_alarm_rate_n_eff,nmse_oracle_perfect_mean,nmse_oracle_perfect_std,nmse_oracle_perfect_se,nmse_oracle_perfect_ci95_lower,nmse_oracle_perfect_ci95_upper,nmse_oracle_perfect_n_eff,nmse_oracle_support_ls_mean,nmse_oracle_support_ls_std,nmse_oracle_support_ls_se,nmse_oracle_support_ls_ci95_lower,nmse_oracle_support_ls_ci95_upper,nmse_oracle_support_ls_n_eff,nmse_estimated_support_ls_mean,nmse_estimated_support_ls_std,nmse_estimated_support_ls_se,nmse_estimated_support_ls_ci95_lower,nmse_estimated_support_ls_ci95_upper,nmse_estimated_support_ls_n_eff
random,0.125,-5.0,500,112.0,0.527,0.1971007290569712,0.008814612571723113,0.5097233593594227,0.5442766406405773,500.0,0.527,0.1971007290569712,0.008814612571723113,0.5097233593594227,0.5442766406405773,500.0,0.747829058486867,0.21747014597646178,0.009725560589603418,0.7287669597312443,0.7668911572424897,500.0,0.14531431551706195,0.09515117001314823,0.004281053531765774,0.13692345059480104,0.15370518043932285,494.0,0.11547496664997534,0.06697800646744628,0.0030134829776498786,0.10956854001378158,0.12138139328616909,494.0,0.5194337512759982,0.11165479152343531,0.004993354077199373,0.5096467772846874,0.529220725267309,500.0,0.35086997726188396,0.07047250037664071,0.003151626027730963,0.34469279024753124,0.3570471642762367,500.0,0.7030167850259248,0.1190654560851857,0.005324769071569825,0.6925802376456479,0.7134533324062017,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.892,0.7884029162278848,0.03525845028689245,1.8228934374376906,1.9611065625623092,500.0,1.892,0.7884029162278848,0.03525845028689245,1.8228934374376906,1.9611065625623092,500.0,0.473,0.1971007290569712,0.008814612571723113,0.45572335935942265,0.4902766406405773,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.11462879980541003,0.057976149479953595,0.0025927722262173063,0.10954696624202412,0.11971063336879595,500.0,0.5948240507181416,0.22181709708979436,0.009919962153289018,0.5753809248976951,0.6142671765385881,500.0
random,0.125,0.0,500,112.0,0.6495,0.20642182525081926,0.009231464666008288,0.6314063292546237,0.6675936707453762,500.0,0.6495,0.20642182525081926,0.009231464666008288,0.6314063292546237,0.6675936707453762,500.0,0.8391773863741839,0.1918901978796155,0.008581590533494126,0.8223574689285355,0.8559973038198324,500.0,0.11042435420726691,0.07025109746675932,0.0031543673945574275,0.10424179411393436,0.11660691430059947,496.0,0.09333813699221698,0.05805189966401469,0.0026066072430958476,0.08822918679574912,0.09844708718868483,496.0,0.43525224041981037,0.13993484861406716,0.006258076678443927,0.4229864101300603,0.44751807070956046,500.0,0.2964985467493209,0.08986223528870202,0.0040187613343123626,0.2886217745340687,0.30437531896457315,500.0,0.5963236669006956,0.14914425458938108,0.006669933834307821,0.5832505965854523,0.6093967372159389,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.402,0.8256873010032769,0.03692585866403315,1.3296253170184948,1.474374682981505,500.0,1.402,0.8256873010032769,0.03692585866403315,1.3296253170184948,1.474374682981505,500.0,0.3505,0.20642182525081923,0.009231464666008287,0.3324063292546237,0.36859367074537625,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.036318416714688447,0.018680333438918527,0.0008354099082356848,0.0346810132945465,0.03795582013483039,500.0,0.23664347707862346,0.13135875444229517,0.005874542087453489,0.22512937458721463,0.2481575795700323,500.0
random,0.125,5.0,500,112.0,0.703,0.19841809261999757,0.008873526861283279,0.6856078873518847,0.7203921126481152,500.0,0.703,0.19841809261999757,0.008873526861283279,0.6856078873518847,0.7203921126481152,500.0,0.8704735994629662,0.1769789630425452,0.007914739839011082,0.8549607093785044,0.885986489547428,500.0,0.1016016532861574,0.07207229387501658,0.003229636713629196,0.09527156532744419,0.10793174124487062,498.0,0.07634291933469542,0.05129826614670684,0.0022987302718604917,0.07183740800184886,0.08084843066754198,498.0,0.39282466098989127,0.15335986997325582,0.006858461885614577,0.3793820756940867,0.4062672462856958,500.0,0.2658927226288616,0.0994306847620318,0.004446675403545112,0.25717723883791316,0.27460820641981004,500.0,0.5401467461522046,0.1688228791371008,0.007549988678155769,0.5253487683430192,0.5549447239613899,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.188,0.7936723704799902,0.03549410744513311,1.118431549407539,1.257568450592461,500.0,1.188,0.7936723704799902,0.03549410744513311,1.118431549407539,1.257568450592461,500.0,0.297,0.19841809261999754,0.008873526861283277,0.27960788735188474,0.31439211264811523,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.011124360023834956,0.005885746214726489,0.00026321857268881007,0.010608451621364888,0.011640268426305025,500.0,0.14909745087185133,0.12045652656596026,0.005386979634699929,0.13853897078783947,0.1596559309558632,500.0
random,0.125,10.0,500,112.0,0.723,0.19389737590996312,0.008671354263870152,0.7060041456428144,0.7399958543571855,500.0,0.723,0.19389737590996312,0.008671354263870152,0.7060041456428144,0.7399958543571855,500.0,0.8677814978007856,0.17676430249151068,0.007905139927327066,0.8522874235432246,0.8832755720583466,500.0,0.10058270681275758,0.07696710689711554,0.0034489785299162586,0.09382270889412171,0.10734270473139344,498.0,0.06824692055320188,0.057857406929414004,0.0025926523984189857,0.06316532185230067,0.07332851925410308,498.0,0.3756486457020204,0.1626154970724475,0.007272386112978212,0.3613947689205831,0.3899025224834577,500.0,0.251307344905376,0.10880517024516234,0.0048659151394324085,0.24177015123208848,0.2608445385786635,500.0,0.5092980180424713,0.18526785121050124,0.00828543018703995,0.493058574875873,0.5255374612090696,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.108,0.7755895036398525,0.03468541705548061,1.0400165825712582,1.175983417428742,500.0,1.108,0.7755895036398525,0.03468541705548061,1.0400165825712582,1.175983417428742,500.0,0.277,0.19389737590996312,0.008671354263870152,0.26000414564281454,0.2939958543571855,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0037279187694743967,0.001880199492629881,8.408507753562058e-05,0.0035631120175045805,0.003892725521444213,500.0,0.1262956797485095,0.11306200052625803,0.0050562863769765985,0.11638535844963536,0.13620600104738362,500.0
random,0.125,15.0,500,112.0,0.7395,0.19708484180611016,0.008813902072265095,0.7222247519383604,0.7567752480616396,500.0,0.7395,0.19708484180611016,0.008813902072265095,0.7222247519383604,0.7567752480616396,500.0,0.8715962365705805,0.1763396511353489,0.007886148941344762,0.8561393846455447,0.8870530884956163,500.0,0.0970444120133996,0.07310809650215422,0.003276052139208385,0.09062334982055116,0.10346547420624803,498.0,0.06413568754559622,0.053006591275962564,0.002375282151363971,0.05948013452892283,0.0687912405622696,498.0,0.3577283666469816,0.17108948194510357,0.00765135423728949,0.3427317123418942,0.372725020952069,500.0,0.23855589418151155,0.11519334577339879,0.005151603034099155,0.2284587522346772,0.24865303612834588,500.0,0.4857474412401315,0.19820964292357784,0.008864204707461604,0.46837360001350675,0.5031212824667562,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.042,0.7883393672244408,0.03525560828906038,0.9728990077534417,1.1111009922465584,500.0,1.042,0.7883393672244408,0.03525560828906038,0.9728990077534417,1.1111009922465584,500.0,0.2605,0.1970848418061102,0.008813902072265095,0.24322475193836043,0.2777752480616396,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0011180195387755908,0.0005641347125328784,2.522887131381637e-05,0.0010685709510005108,0.0011674681265506708,500.0,0.11674446172902722,0.1116032892232512,0.004991050824315188,0.10696200211336945,0.126526921344685,500.0
random,0.125,20.0,500,112.0,0.741,0.1955645442864425,0.00874591230026507,0.7238580118914805,0.7581419881085195,500.0,0.741,0.1955645442864425,0.00874591230026507,0.7238580118914805,0.7581419881085195,500.0,0.8961287711344345,0.15194751483682783,0.0067952994437460975,0.8828099842246921,0.9094475580441768,500.0,0.09184101740708513,0.06935089402543869,0.0031014662668252986,0.08576214352410755,0.0979198912900627,500.0,0.06244301486027845,0.053373516947918004,0.002386936241875635,0.05776461982620221,0.0671214098943547,500.0,0.35706458792927853,0.16854113942929433,0.007537388895383444,0.342291305694327,0.3718378701642301,500.0,0.2391650185763377,0.1125991473208621,0.005035586952359219,0.22929526814971363,0.2490347690029618,500.0,0.4908601071825686,0.1944838511496815,0.00869758223393277,0.4738128460040604,0.5079073683610769,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.036,0.78225817714577,0.03498364920106028,0.9674320475659219,1.1045679524340781,500.0,1.036,0.78225817714577,0.03498364920106028,0.9674320475659219,1.1045679524340781,500.0,0.259,0.1955645442864425,0.00874591230026507,0.24185801189148048,0.27614198810851953,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0003709125964881228,0.00019541010477392483,8.739005555297042e-06,0.0003537841455997406,0.00038804104737650506,500.0,0.10776861337351155,0.10144749680583343,0.004536869980100726,0.09887634821251413,0.11666087853450897,500.0
random,0.125,25.0,500,112.0,0.767,0.19244497951435513,0.00860640112245305,0.750131453799992,0.783868546200008,500.0,0.767,0.19244497951435513,0.00860640112245305,0.750131453799992,0.783868546200008,500.0,0.9100051870665891,0.14248313296542237,0.006372039419156512,0.8975159898050423,0.9224943843281358,500.0,0.09848413877026235,0.07263567614596184,0.0032483661890806118,0.09211734103966435,0.10485093650086036,500.0,0.06277319761980615,0.05376076480709558,0.002404254492620882,0.05806085881426923,0.06748553642534308,500.0,0.3365502086761893,0.17137971194959267,0.007664333717672444,0.3215281145895513,0.3515723027628273,500.0,0.22330981186202753,0.11717005031700688,0.005240003948717963,0.21303940412254033,0.23358021960151473,500.0,0.4667081015280666,0.20212462113390184,0.009039287855635902,0.4489910973310202,0.48442510572511294,500.0,4.0,0.0,0.0,4.0,4.0,500.0,0.932,0.7697799180574205,0.0344256044898122,0.8645258151999682,0.9994741848000319,500.0,0.932,0.7697799180574205,0.0344256044898122,0.8645258151999682,0.9994741848000319,500.0,0.233,0.19244497951435513,0.00860640112245305,0.21613145379999205,0.24986854620000798,500.0,0.0,0.0,0.0,0.0,0.0,500.0,0.00011700558423796001,6.258557599746755e-05,2.7989120468263326e-06,0.0001115197166261804,0.0001224914518497396,500.0,0.09746505550032812,0.09197957861182839,0.00411345180635668,0.08940268995986903,0.10552742104078722,500.0
random,0.125,30.0,500,112.0,0.7245,0.19761795391973586,0.008837743570779008,0.7071780226012732,0.7418219773987269,500.0,0.7245,0.19761795391973586,0.008837743570779008,0.7071780226012732,0.7418219773987269,500.0,0.8743470119576744,0.1655318391967071,0.007402808897688025,0.8598375065182059,0.8888565173971429,500.0,0.097590681529959,0.07001477073082193,0.0031342915959744894,0.09144747000184901,0.103733893058069,499.0,0.06259668479512752,0.04976728200880107,0.002227889517118846,0.05823002134157458,0.06696334824868046,499.0,0.37079650067602626,0.16713830026479187,0.007474652020716914,0.3561461827154211,0.38544681863663144,500.0,0.24868429797859004,0.10937232221252632,0.004891278946484381,0.23909739124348064,0.2582712047136994,500.0,0.5051780762022283,0.18924992389343398,0.0084635138912476,0.488589588975383,0.5217665634290736,500.0,4.0,0.0,0.0,4.0,4.0,500.0,1.102,0.7904718156789434,0.03535097428311603,1.0327120904050926,1.1712879095949076,500.0,1.102,0.7904718156789434,0.03535097428311603,1.0327120904050926,1.1712879095949076,500.0,0.2755,0.19761795391973586,0.008837743570779008,0.25817802260127315,0.2928219773987269,500.0,0.0,0.0,0.0,0.0,0.0,500.0,3.6797864418236846e-05,1.8702164019626025e-05,8.3638620148469e-07,3.5158547463326854e-05,3.843718137314684e-05,500.0,0.1206221877745261,0.11021511125039296,0.00492896961807161,0.11096140732310575,0.13028296822594645,500.0
